SEER_historic_stage_LRD,Year_of_diagnosis_BC,Age_breast,follow-up,link,r,cure,lambda,k,theta,surv_curemodel,surv_notcured,median_surv_notcured,s1_numerical,G_numerical,CI_numerical,s1_analytical,G_analytical,CI_analytical,se_CI_analytical,obs_surv,obs_dist_surv
1,0,1,19,Loglogistic,1.5,0.344828929576454,8.00392791052586,1.49218294267681,0.408457802378286,0.486249229749499,0.215852479691483,8.00392791052586,0.180632161484637,0.463173896169262,0.536826103830738,0.183308093156622,0.464927089187177,0.535072910812823,0.00498031484523141,0.49411,0.05898
1,0,1,20,Loglogistic,1.5,0.344828929576454,8.00392791052586,1.49218294267681,0.408457802378286,0.477946119404727,0.20317928528532,8.00392791052586,0.170407615344888,0.456475069330287,0.543524930669713,0.173606997546348,0.458571211991912,0.541428788008088,0.0050395864120614,0.48131,0.05623
1,0,1,21,Loglogistic,1.5,0.344828929576454,8.00392791052586,1.49218294267681,0.408457802378286,0.470390390101211,0.191646832702161,8.00392791052586,0.161126468711402,0.450394330555669,0.549605669444331,0.164696857458548,0.452733545972965,0.547266454027035,0.00510261084475238,0.47121,0.05327
1,0,1,22,Loglogistic,1.5,0.344828929576454,8.00392791052586,1.49218294267681,0.408457802378286,0.463495126730431,0.181122461767525,8.00392791052586,0.152684696497657,0.444863525618117,0.555136474381883,0.156493649692088,0.447359041559707,0.552640958440293,0.00516789726215275,0.46503,0.05004
1,0,1,23,Loglogistic,1.5,0.344828929576454,8.00392791052586,1.49218294267681,0.408457802378286,0.457185392067083,0.171491794376688,8.00392791052586,0.14480086458442,0.439698267024483,0.560301732975517,0.148924099705456,0.44239969139234,0.55760030860766,0.00523430560159549,0.45574,0.05004
1,0,1,24,Loglogistic,1.5,0.344828929576454,8.00392791052586,1.49218294267681,0.408457802378286,0.45139638023904,0.162655916100957,8.00392791052586,0.137434967616732,0.434872344423534,0.565127655576466,0.14192409496223,0.437813490791751,0.562186509208249,0.00530097144859049,0.44438,0.05004
1,0,1,25,Loglogistic,1.5,0.344828929576454,8.00392791052586,1.49218294267681,0.408457802378286,0.446071872859445,0.154529019752873,8.00392791052586,0.130591215948406,0.430388516317283,0.569611483682717,0.135437362834042,0.433563571559775,0.566436428440225,0.00536724576540276,0.43712,0.05004
1,0,2,1,Loglogistic,1.5,0.287315838044264,6.55989803900104,1.49218294267681,0.438436895849112,0.959405489756864,0.943039971406496,6.55989803900104,0.893365433402509,0.924003233268954,0.0759967667310461,0.760223519219574,0.829115099738306,0.170884900261694,0.00909694010307284,0.96201,0.60093
1,0,2,2,Loglogistic,1.5,0.287315838044264,6.55989803900104,1.49218294267681,0.438436895849112,0.896491815509024,0.854762894959066,6.55989803900104,0.765490128282529,0.832868528604687,0.167131471395313,0.64350729684131,0.745933296606014,0.254066703393986,0.0106003953414643,0.90431,0.42652
1,0,2,3,Loglogistic,1.5,0.287315838044264,6.55989803900104,1.49218294267681,0.438436895849112,0.830865701493429,0.762679869239081,6.55989803900104,0.655421773499021,0.754424555417956,0.245575444582044,0.557341274939359,0.684524137497763,0.315475862502237,0.0104508591346091,0.84901,0.33162
1,0,2,4,Loglogistic,1.5,0.287315838044264,6.55989803900104,1.49218294267681,0.438436895849112,0.769512295520195,0.676592077130907,6.55989803900104,0.564746589218491,0.689801787698804,0.310198212301196,0.490412281775978,0.636824904094578,0.363175095905422,0.00966345099394476,0.79828,0.26474
1,0,2,5,Loglogistic,1.5,0.287315838044264,6.55989803900104,1.49218294267681,0.438436895849112,0.714878097989818,0.599932316121976,6.55989803900104,0.491323556871238,0.637474355422154,0.362525644577846,0.436559159280954,0.598444636620512,0.401555363379488,0.00871280181289462,0.74942,0.21606
1,0,2,6,Loglogistic,1.5,0.287315838044264,6.55989803900104,1.49218294267681,0.438436895849112,0.667342145520127,0.533232429963086,6.55989803900104,0.432245633399517,0.595370455042625,0.404629544957375,0.392049901493629,0.56672359353508,0.43327640646492,0.00781216668993141,0.7099,0.17583
1,0,2,7,Loglogistic,1.5,0.287315838044264,6.55989803900104,1.49218294267681,0.438436895849112,0.626407524682025,0.475795176515823,6.55989803900104,0.383843813767301,0.560875244780906,0.439124755219094,0.354529474662114,0.53998337958244,0.46001662041756,0.00704532741501884,0.68171,0.14834
1,0,2,8,Loglogistic,1.5,0.287315838044264,6.55989803900104,1.49218294267681,0.438436895849112,0.591275157393484,0.426499332488462,6.55989803900104,0.342560686885219,0.531453414096038,0.468546585903962,0.322440901445509,0.517114361671209,0.482885638328791,0.00643449098301169,0.64665,0.13711
1,0,2,9,Loglogistic,1.5,0.287315838044264,6.55989803900104,1.49218294267681,0.438436895849112,0.561104956303767,0.384166132593961,6.55989803900104,0.307926683870072,0.506770308682015,0.493229691317985,0.294700731756931,0.497344382084194,0.502655617915806,0.00597376716915135,0.6184,0.12077
1,0,2,10,Loglogistic,1.5,0.287315838044264,6.55989803900104,1.49218294267681,0.438436895849112,0.535123433820948,0.347710260736894,6.55989803900104,0.279046403416528,0.486187790209935,0.513812209790065,0.270518129708025,0.480109824609061,0.519890175390939,0.00564522721085904,0.59268,0.10453
1,0,2,11,Loglogistic,1.5,0.287315838044264,6.55989803900104,1.49218294267681,0.438436895849112,0.512659023816322,0.31618941152512,6.55989803900104,0.253400034340205,0.467910029157568,0.532089970842432,0.249292597417826,0.464982723916756,0.535017276083244,0.00542674734117882,0.57238,0.10453
1,0,2,12,Loglogistic,1.5,0.287315838044264,6.55989803900104,1.49218294267681,0.438436895849112,0.493145298034879,0.288808803363584,6.55989803900104,0.230491983677183,0.451583824268753,0.548416175731247,0.230554162372717,0.45162813804027,0.54837186195973,0.00529607483567811,0.55158,0.10453
1,0,2,13,Loglogistic,1.5,0.287315838044264,6.55989803900104,1.49218294267681,0.438436895849112,0.476111336098235,0.264907666161518,6.55989803900104,0.210736298278933,0.43750426017684,0.56249573982316,0.213926701990991,0.439778010372668,0.560221989627332,0.00523299363984,0.53259,0.0982
1,0,2,14,Loglogistic,1.5,0.287315838044264,6.55989803900104,1.49218294267681,0.438436895849112,0.461168145640728,0.243940186799411,6.55989803900104,0.193467038732916,0.425196732409691,0.574803267590309,0.199104229388743,0.429214268908023,0.570785731091977,0.00522033764432837,0.51546,0.09469
1,0,2,15,Loglogistic,1.5,0.287315838044264,6.55989803900104,1.49218294267681,0.438436895849112,0.447995011508817,0.225456355061433,6.55989803900104,0.178318610972493,0.414400687866306,0.585599312133694,0.185834747297508,0.419757319184245,0.580242680815755,0.00524423614341088,0.49598,0.09066
1,0,2,16,Loglogistic,1.5,0.287315838044264,6.55989803900104,1.49218294267681,0.438436895849112,0.436327280763963,0.209084824209906,6.55989803900104,0.16467538874946,0.404677379469908,0.595322620530092,0.173908746260421,0.411257847129645,0.588742152870355,0.00529388869485787,0.48085,0.09066
1,0,2,17,Loglogistic,1.5,0.287315838044264,6.55989803900104,1.49218294267681,0.438436895849112,0.425946006912969,0.194518380327519,6.55989803900104,0.152327194858625,0.395877017255151,0.604122982744849,0.163150704939522,0.403590761466575,0.596409238533425,0.00536111252739906,0.46659,0.09066
1,0,2,18,Loglogistic,1.5,0.287315838044264,6.55989803900104,1.49218294267681,0.438436895849112,0.416669411850672,0.181501962175556,6.55989803900104,0.141117451021892,0.387888010363131,0.612111989636869,0.153412628386262,0.396650588539154,0.603349411460846,0.00543983157996696,0.45478,0.09066
1,0,2,19,Loglogistic,1.5,0.287315838044264,6.55989803900104,1.49218294267681,0.438436895849112,0.408345949493924,0.169822928458985,6.55989803900104,0.130943607217805,0.380637273017746,0.619362726982254,0.144569029635432,0.390347895774746,0.609652104225254,0.00552560179938059,0.43819,0.09066
1,0,2,20,Loglogistic,1.5,0.287315838044264,6.55989803900104,1.49218294267681,0.438436895849112,0.400848712113221,0.159303209092513,6.55989803900104,0.121718851707917,0.374062935867936,0.625937064132064,0.136512969260724,0.384606469137933,0.615393530862067,0.00561521210629387,0.42957,0.09066
1,0,2,21,Loglogistic,1.5,0.287315838044264,6.55989803900104,1.49218294267681,0.438436895849112,0.394070932921542,0.149792994675681,6.55989803900104,0.113317124337665,0.368075157838087,0.631924842161913,0.129152891468906,0.379361058264941,0.620638941735059,0.0057063679685325,0.4278,0.09066
1,0,2,22,Loglogistic,1.5,0.287315838044264,6.55989803900104,1.49218294267681,0.438436895849112,0.387922370991861,0.141165664003973,6.55989803900104,0.105638195640169,0.362602506974594,0.637397493025406,0.122410072273317,0.374555557817314,0.625444442182686,0.00579744922237392,0.4164,0.09066
1,0,2,23,Loglogistic,1.5,0.287315838044264,6.55989803900104,1.49218294267681,0.438436895849112,0.382326401066676,0.13331370064642,6.55989803900104,0.0986088880311267,0.357592830772115,0.642407169227885,0.116216545356243,0.370141529276869,0.629858470723131,0.00588732868491582,0.40728,0.09066
1,0,2,24,Loglogistic,1.5,0.287315838044264,6.55989803900104,1.49218294267681,0.438436895849112,0.377217664680735,0.126145397127619,6.55989803900104,NA,NA,NA,0.110513405214181,0.366076991624207,0.633923008375793,0.00597523803311392,0.40336,NA
1,0,2,25,Loglogistic,1.5,0.287315838044264,6.55989803900104,1.49218294267681,0.438436895849112,0.372540167996004,0.119582185912296,6.55989803900104,NA,NA,NA,0.105249411102147,0.362325426391932,0.637674573608068,0.00606066934443389,0.39832,NA
1,1,0,1,Loglogistic,1.5,0.469340999315569,6.78793383516147,1.49218294267681,0.315268862753992,0.971194695720787,0.945717863558216,6.78793383516147,0.853707270033543,0.922368446108602,0.0776315538913976,0.702744024438179,0.842258441060888,0.157741558939112,0.00816251480538791,0.98298,0.73408
1,1,0,2,Loglogistic,1.5,0.469340999315569,6.78793383516147,1.49218294267681,0.315268862753992,0.926227355207568,0.860979188711995,6.78793383516147,0.729641339825719,0.856531743565535,0.143468256434465,0.577720351543753,0.775913503740835,0.224086496259165,0.00947856311600424,0.92456,0.51016
1,1,0,3,Loglogistic,1.5,0.469340999315569,6.78793383516147,1.49218294267681,0.315268862753992,0.878895723897141,0.771785127649466,6.78793383516147,0.625772134044708,0.801412614623897,0.198587385376103,0.493903339445043,0.731435251860179,0.268564748139821,0.00936779746582581,0.86411,0.38888
